County Name,Date of Death,Total Deaths
Northampton,03/01/2020 12:00:00 AM,62
Crawford,02/01/2021 12:00:00 AM,3753
Somerset,03/01/2021 12:00:00 AM,5794
Allegheny,11/01/2020 12:00:00 AM,15013
Lebanon,12/01/2020 12:00:00 AM,4464
Centre,03/01/2020 12:00:00 AM,0
Greene,12/01/2020 12:00:00 AM,370
Schuylkill,05/01/2020 12:00:00 AM,802
Snyder,04/01/2021 12:00:00 AM,2507
Blair,07/01/2020 12:00:00 AM,55
Carbon,11/01/2021 12:00:00 AM,3299
Franklin,09/01/2021 12:00:00 AM,12088
Crawford,08/01/2021 12:00:00 AM,4932
Tioga,11/01/2021 12:00:00 AM,2199
Clarion,08/01/2021 12:00:00 AM,3049
Blair,03/01/2021 12:00:00 AM,9634
Cambria,07/01/2020 12:00:00 AM,93
Montgomery,06/01/2021 12:00:00 AM,52319
Indiana,04/01/2020 12:00:00 AM,72
McKean,12/01/2020 12:00:00 AM,481
Delaware,01/01/2021 12:00:00 AM,34544
Snyder,05/01/2020 12:00:00 AM,22
Mercer,06/01/2020 12:00:00 AM,180
Cambria,08/01/2020 12:00:00 AM,115
Lycoming,03/01/2020 12:00:00 AM,0
Mercer,04/01/2020 12:00:00 AM,31
Philadelphia,12/01/2020 12:00:00 AM,74410
Montgomery,04/01/2021 12:00:00 AM,49846
Montour,02/01/2021 12:00:00 AM,1731
Allegheny,04/01/2020 12:00:00 AM,1661
Berks,04/01/2020 12:00:00 AM,2280
Mercer,07/01/2021 12:00:00 AM,8261
Luzerne,11/01/2020 12:00:00 AM,7847
Jefferson,09/01/2021 12:00:00 AM,3227
Juniata,02/01/2021 12:00:00 AM,2231
Monroe,10/01/2020 12:00:00 AM,4168
Greene,11/01/2020 12:00:00 AM,75
Clearfield,05/01/2021 12:00:00 AM,4621
Montour,08/01/2021 12:00:00 AM,2077
Allegheny,03/01/2020 12:00:00 AM,11
Lackawanna,02/01/2021 12:00:00 AM,11589
Fayette,07/01/2020 12:00:00 AM,132
Lebanon,04/01/2021 12:00:00 AM,8255
Lycoming,08/01/2021 12:00:00 AM,9448
Schuylkill,11/01/2020 12:00:00 AM,4642
Erie,02/01/2021 12:00:00 AM,10423
Monroe,10/01/2021 12:00:00 AM,11134
Wyoming,03/01/2021 12:00:00 AM,1321
Adams,10/01/2020 12:00:00 AM,854
Armstrong,10/01/2021 12:00:00 AM,5984
Dauphin,07/01/2020 12:00:00 AM,4781
Jefferson,09/01/2020 12:00:00 AM,76
Cameron,05/01/2020 12:00:00 AM,0
Cameron,08/01/2021 12:00:00 AM,310
Adams,06/01/2020 12:00:00 AM,329
Cambria,04/01/2021 12:00:00 AM,12608
Mifflin,05/01/2021 12:00:00 AM,5518
Perry,11/01/2020 12:00:00 AM,286
Cumberland,08/01/2021 12:00:00 AM,16668
Blair,12/01/2020 12:00:00 AM,4839
Tioga,10/01/2021 12:00:00 AM,3948
Columbia,06/01/2020 12:00:00 AM,988
Lawrence,11/01/2020 12:00:00 AM,2031
Greene,04/01/2020 12:00:00 AM,0
Montgomery,03/01/2021 12:00:00 AM,50021
York,10/01/2020 12:00:00 AM,6134
Lehigh,09/01/2020 12:00:00 AM,10646
Snyder,08/01/2021 12:00:00 AM,2708
Erie,04/01/2020 12:00:00 AM,13
Lycoming,04/01/2020 12:00:00 AM,2
Franklin,11/01/2021 12:00:00 AM,7609
Fulton,06/01/2021 12:00:00 AM,450
Clearfield,10/01/2020 12:00:00 AM,217
Susquehanna,06/01/2020 12:00:00 AM,613
Montgomery,02/01/2021 12:00:00 AM,42874
Fulton,07/01/2021 12:00:00 AM,504
Blair,05/01/2021 12:00:00 AM,10375
Blair,04/01/2020 12:00:00 AM,0
Lawrence,01/01/2021 12:00:00 AM,5110
Beaver,05/01/2020 12:00:00 AM,2221
Montour,03/01/2021 12:00:00 AM,1984
Dauphin,03/01/2020 12:00:00 AM,2
Butler,10/01/2020 12:00:00 AM,839
Elk,04/01/2020 12:00:00 AM,0
Wayne,11/01/2021 12:00:00 AM,1887
Indiana,01/01/2021 12:00:00 AM,4517
Beaver,10/01/2021 12:00:00 AM,14385
Cumberland,03/01/2020 12:00:00 AM,0
Carbon,07/01/2021 12:00:00 AM,5487
Sullivan,06/01/2020 12:00:00 AM,0
Allegheny,06/01/2020 12:00:00 AM,5578
Lehigh,06/01/2020 12:00:00 AM,8546
Delaware,08/01/2021 12:00:00 AM,44680
Venango,06/01/2021 12:00:00 AM,3013
Clinton,03/01/2021 12:00:00 AM,1845
Fayette,11/01/2021 12:00:00 AM,6988
Wayne,07/01/2020 12:00:00 AM,279
Wayne,05/01/2020 12:00:00 AM,202
Lancaster,03/01/2020 12:00:00 AM,13
Juniata,09/01/2020 12:00:00 AM,199
Clearfield,07/01/2021 12:00:00 AM,4900
Lycoming,11/01/2020 12:00:00 AM,1080
Fulton,06/01/2020 12:00:00 AM,30
Lawrence,11/01/2021 12:00:00 AM,4415
Fulton,12/01/2020 12:00:00 AM,285
Mifflin,07/01/2021 12:00:00 AM,5663
Bradford,10/01/2020 12:00:00 AM,328
Clearfield,03/01/2020 12:00:00 AM,0
Cambria,09/01/2020 12:00:00 AM,206
Bucks,06/01/2020 12:00:00 AM,16810
Berks,08/01/2020 12:00:00 AM,11826
Cameron,12/01/2020 12:00:00 AM,46
Northumberland,03/01/2020 12:00:00 AM,0
Susquehanna,05/01/2021 12:00:00 AM,1885
Adams,07/01/2021 12:00:00 AM,5873
Centre,06/01/2021 12:00:00 AM,6786
Washington,11/01/2021 12:00:00 AM,6566
Bedford,02/01/2021 12:00:00 AM,3580
Clinton,08/01/2020 12:00:00 AM,186
Venango,01/01/2021 12:00:00 AM,2096
Tioga,10/01/2020 12:00:00 AM,97
Delaware,04/01/2020 12:00:00 AM,4255
Carbon,08/01/2021 12:00:00 AM,5492
Sullivan,08/01/2021 12:00:00 AM,653
Mifflin,04/01/2021 12:00:00 AM,5293
Adams,03/01/2020 12:00:00 AM,0
Venango,09/01/2020 12:00:00 AM,30
Union,03/01/2020 12:00:00 AM,0
Montgomery,08/01/2020 12:00:00 AM,26964
Lancaster,02/01/2021 12:00:00 AM,28189
Crawford,09/01/2020 12:00:00 AM,82
Cameron,04/01/2020 12:00:00 AM,0
Lackawanna,11/01/2021 12:00:00 AM,8462
Bedford,11/01/2021 12:00:00 AM,2918
Lehigh,05/01/2021 12:00:00 AM,26525
Huntingdon,05/01/2020 12:00:00 AM,31
Bucks,11/01/2020 12:00:00 AM,19895
McKean,11/01/2021 12:00:00 AM,1554
Crawford,05/01/2020 12:00:00 AM,0
Mercer,03/01/2020 12:00:00 AM,0
Westmoreland,08/01/2021 12:00:00 AM,24655
Lawrence,03/01/2021 12:00:00 AM,6089
Wyoming,12/01/2020 12:00:00 AM,911
Delaware,02/01/2021 12:00:00 AM,34644
Fayette,04/01/2020 12:00:00 AM,82
Mercer,10/01/2021 12:00:00 AM,10081
Sullivan,10/01/2020 12:00:00 AM,24
Philadelphia,09/01/2020 12:00:00 AM,54931
Juniata,05/01/2021 12:00:00 AM,2666
Cumberland,03/01/2021 12:00:00 AM,15273
Beaver,05/01/2021 12:00:00 AM,11870
Philadelphia,05/01/2020 12:00:00 AM,40402
Pike,08/01/2021 12:00:00 AM,1691
Washington,11/01/2020 12:00:00 AM,1801
Westmoreland,11/01/2020 12:00:00 AM,5327
Venango,07/01/2020 12:00:00 AM,0
Butler,03/01/2020 12:00:00 AM,7
Huntingdon,06/01/2020 12:00:00 AM,120
Wyoming,09/01/2020 12:00:00 AM,240
Carbon,11/01/2020 12:00:00 AM,1273
Lackawanna,07/01/2020 12:00:00 AM,6516
Beaver,08/01/2021 12:00:00 AM,12403
Cameron,09/01/2020 12:00:00 AM,0
Potter,11/01/2020 12:00:00 AM,72
Indiana,07/01/2020 12:00:00 AM,186
Montour,10/01/2021 12:00:00 AM,2195
Carbon,07/01/2020 12:00:00 AM,864
Cumberland,01/01/2021 12:00:00 AM,12516
Mifflin,06/01/2020 12:00:00 AM,30
Dauphin,05/01/2021 12:00:00 AM,17008
Potter,05/01/2021 12:00:00 AM,713
Carbon,03/01/2021 12:00:00 AM,4824
Chester,09/01/2021 12:00:00 AM,25651
Tioga,02/01/2021 12:00:00 AM,2611
Columbia,02/01/2021 12:00:00 AM,3427
Perry,11/01/2021 12:00:00 AM,2077
McKean,06/01/2021 12:00:00 AM,2230
Perry,02/01/2021 12:00:00 AM,2307
Susquehanna,11/01/2021 12:00:00 AM,1126
Clarion,07/01/2020 12:00:00 AM,62
Fulton,04/01/2021 12:00:00 AM,450
Philadelphia,11/01/2020 12:00:00 AM,60193
Lycoming,05/01/2021 12:00:00 AM,8897
Carbon,09/01/2021 12:00:00 AM,5540
Northampton,07/01/2021 12:00:00 AM,22495
Union,05/01/2021 12:00:00 AM,2712
Lackawanna,09/01/2020 12:00:00 AM,6446
Jefferson,10/01/2020 12:00:00 AM,107
Fulton,08/01/2021 12:00:00 AM,545
Sullivan,03/01/2021 12:00:00 AM,616
Somerset,04/01/2020 12:00:00 AM,0
Wayne,02/01/2021 12:00:00 AM,1768
Bucks,04/01/2020 12:00:00 AM,3267
Cumberland,02/01/2021 12:00:00 AM,13236
Crawford,06/01/2020 12:00:00 AM,1
Union,05/01/2020 12:00:00 AM,31
Dauphin,03/01/2021 12:00:00 AM,15947
Montour,05/01/2020 12:00:00 AM,0
Lackawanna,09/01/2021 12:00:00 AM,15001
Wyoming,06/01/2021 12:00:00 AM,1591
Columbia,07/01/2021 12:00:00 AM,4216
Armstrong,04/01/2020 12:00:00 AM,43
Luzerne,06/01/2021 12:00:00 AM,24870
Perry,09/01/2020 12:00:00 AM,180
Schuylkill,04/01/2021 12:00:00 AM,11741
Northampton,07/01/2020 12:00:00 AM,9048
Cambria,01/01/2021 12:00:00 AM,11087
McKean,07/01/2020 12:00:00 AM,31
Mercer,11/01/2020 12:00:00 AM,1332
Fayette,06/01/2020 12:00:00 AM,120
Northumberland,06/01/2020 12:00:00 AM,143
Butler,12/01/2020 12:00:00 AM,5135
Clinton,07/01/2021 12:00:00 AM,2108
Adams,10/01/2021 12:00:00 AM,6725
Armstrong,06/01/2020 12:00:00 AM,164
Columbia,04/01/2020 12:00:00 AM,211
Delaware,09/01/2021 12:00:00 AM,43978
Butler,03/01/2021 12:00:00 AM,11909
Lackawanna,08/01/2020 12:00:00 AM,6568
Schuylkill,06/01/2020 12:00:00 AM,1379
Dauphin,04/01/2020 12:00:00 AM,346
Westmoreland,06/01/2020 12:00:00 AM,1149
Monroe,01/01/2021 12:00:00 AM,7232
Monroe,07/01/2020 12:00:00 AM,3789
Luzerne,06/01/2020 12:00:00 AM,5205
Beaver,10/01/2020 12:00:00 AM,4363
Erie,09/01/2020 12:00:00 AM,1096
Lawrence,04/01/2020 12:00:00 AM,157
Northumberland,11/01/2021 12:00:00 AM,6623
Clarion,10/01/2021 12:00:00 AM,3711
Centre,09/01/2021 12:00:00 AM,7005
Crawford,06/01/2021 12:00:00 AM,4636
Northumberland,05/01/2020 12:00:00 AM,64
Columbia,08/01/2021 12:00:00 AM,4232
McKean,02/01/2021 12:00:00 AM,1717
Pike,04/01/2020 12:00:00 AM,200
Lawrence,02/01/2021 12:00:00 AM,5194
Montgomery,09/01/2020 12:00:00 AM,26483
Columbia,07/01/2020 12:00:00 AM,1084
Luzerne,08/01/2020 12:00:00 AM,5797
Butler,09/01/2021 12:00:00 AM,13441
Dauphin,04/01/2021 12:00:00 AM,16034
Blair,09/01/2021 12:00:00 AM,10569
Chester,04/01/2021 12:00:00 AM,23382
Westmoreland,07/01/2021 12:00:00 AM,24319
Bradford,01/01/2021 12:00:00 AM,2035
Lancaster,09/01/2020 12:00:00 AM,13694
Bucks,08/01/2021 12:00:00 AM,41838
Perry,03/01/2021 12:00:00 AM,2728
Lehigh,03/01/2021 12:00:00 AM,24810
Lackawanna,11/01/2020 12:00:00 AM,6822
Northumberland,12/01/2020 12:00:00 AM,6251
Sullivan,11/01/2020 12:00:00 AM,30
Montgomery,03/01/2020 12:00:00 AM,50
Venango,12/01/2020 12:00:00 AM,1103
Franklin,04/01/2021 12:00:00 AM,10529
Lebanon,09/01/2020 12:00:00 AM,1788
Dauphin,11/01/2020 12:00:00 AM,6361
Lehigh,07/01/2021 12:00:00 AM,26892
Chester,10/01/2021 12:00:00 AM,27104
McKean,11/01/2020 12:00:00 AM,111
Perry,05/01/2021 12:00:00 AM,3100
Pike,07/01/2021 12:00:00 AM,1674
Lycoming,04/01/2021 12:00:00 AM,8268
Sullivan,12/01/2020 12:00:00 AM,63
Fulton,10/01/2021 12:00:00 AM,899
Montgomery,07/01/2021 12:00:00 AM,54221
Union,10/01/2020 12:00:00 AM,280
Wayne,12/01/2020 12:00:00 AM,518
Bedford,01/01/2021 12:00:00 AM,3648
Tioga,03/01/2020 12:00:00 AM,0
Philadelphia,05/01/2021 12:00:00 AM,113761
Lackawanna,10/01/2020 12:00:00 AM,6721
Clinton,11/01/2020 12:00:00 AM,318
Columbia,03/01/2021 12:00:00 AM,3915
Warren,10/01/2020 12:00:00 AM,31
Mifflin,01/01/2021 12:00:00 AM,4551
Clearfield,12/01/2020 12:00:00 AM,1239
Northumberland,09/01/2021 12:00:00 AM,11493
Westmoreland,05/01/2020 12:00:00 AM,1154
Indiana,08/01/2020 12:00:00 AM,246
Centre,11/01/2020 12:00:00 AM,1310
Adams,08/01/2020 12:00:00 AM,685
Mifflin,10/01/2021 12:00:00 AM,5996
Cumberland,11/01/2020 12:00:00 AM,3332
Tioga,07/01/2020 12:00:00 AM,63
Centre,04/01/2020 12:00:00 AM,15
Snyder,07/01/2020 12:00:00 AM,62
Susquehanna,09/01/2020 12:00:00 AM,839
Armstrong,06/01/2021 12:00:00 AM,4468
Elk,06/01/2021 12:00:00 AM,1254
Perry,10/01/2021 12:00:00 AM,3666
Lawrence,07/01/2021 12:00:00 AM,6794
Cameron,06/01/2020 12:00:00 AM,0
Clearfield,03/01/2021 12:00:00 AM,3929
Centre,02/01/2021 12:00:00 AM,5805
Fayette,05/01/2020 12:00:00 AM,124
Bedford,03/01/2021 12:00:00 AM,4016
Warren,07/01/2021 12:00:00 AM,3317
Greene,02/01/2021 12:00:00 AM,905
Perry,01/01/2021 12:00:00 AM,2062
Greene,07/01/2021 12:00:00 AM,1302
Pike,03/01/2021 12:00:00 AM,1527
Bradford,08/01/2020 12:00:00 AM,93
Snyder,03/01/2020 12:00:00 AM,0
Warren,12/01/2020 12:00:00 AM,799
Berks,03/01/2020 12:00:00 AM,5
Lancaster,05/01/2021 12:00:00 AM,35425
Franklin,08/01/2021 12:00:00 AM,11748
Centre,05/01/2021 12:00:00 AM,6917
Somerset,11/01/2021 12:00:00 AM,4280
Lebanon,03/01/2020 12:00:00 AM,0
Indiana,04/01/2021 12:00:00 AM,5047
Franklin,01/01/2021 12:00:00 AM,8854
McKean,08/01/2020 12:00:00 AM,43
Tioga,06/01/2020 12:00:00 AM,60
Lackawanna,05/01/2020 12:00:00 AM,4472
Lackawanna,03/01/2021 12:00:00 AM,13533
Sullivan,08/01/2020 12:00:00 AM,0
Lycoming,09/01/2020 12:00:00 AM,781
Carbon,03/01/2020 12:00:00 AM,2
Clearfield,11/01/2020 12:00:00 AM,344
Columbia,12/01/2020 12:00:00 AM,1921
Dauphin,12/01/2020 12:00:00 AM,9090
Warren,09/01/2021 12:00:00 AM,3407
Delaware,03/01/2020 12:00:00 AM,44
Beaver,12/01/2020 12:00:00 AM,6946
Mercer,12/01/2020 12:00:00 AM,3746
Wayne,04/01/2020 12:00:00 AM,50
Somerset,06/01/2020 12:00:00 AM,30
Indiana,06/01/2021 12:00:00 AM,5433
Lehigh,04/01/2021 12:00:00 AM,24822
Dauphin,05/01/2020 12:00:00 AM,1886
Bradford,07/01/2020 12:00:00 AM,93
Union,06/01/2021 12:00:00 AM,2700
Indiana,09/01/2021 12:00:00 AM,5850
Cumberland,05/01/2021 12:00:00 AM,16153
Fayette,07/01/2021 12:00:00 AM,10319
Allegheny,03/01/2021 12:00:00 AM,56244
Perry,03/01/2020 12:00:00 AM,0
Pike,12/01/2020 12:00:00 AM,961
Susquehanna,07/01/2021 12:00:00 AM,1922
Berks,09/01/2020 12:00:00 AM,11892
Philadelphia,07/01/2021 12:00:00 AM,117716
Carbon,12/01/2020 12:00:00 AM,2565
McKean,09/01/2021 12:00:00 AM,2291
Monroe,12/01/2020 12:00:00 AM,5818
Crawford,12/01/2020 12:00:00 AM,2097
Montour,07/01/2021 12:00:00 AM,2077
Indiana,05/01/2021 12:00:00 AM,5470
Northumberland,02/01/2021 12:00:00 AM,8987
Washington,04/01/2021 12:00:00 AM,8693
Columbia,10/01/2021 12:00:00 AM,4690
Philadelphia,04/01/2021 12:00:00 AM,103789
Sullivan,04/01/2020 12:00:00 AM,0
Cumberland,10/01/2021 12:00:00 AM,18888
Elk,07/01/2021 12:00:00 AM,1302
Greene,05/01/2020 12:00:00 AM,0
Northampton,02/01/2021 12:00:00 AM,17713
Philadelphia,08/01/2020 12:00:00 AM,55295
Blair,11/01/2021 12:00:00 AM,6575
Fulton,04/01/2020 12:00:00 AM,1
Cumberland,12/01/2020 12:00:00 AM,8160
Cumberland,09/01/2020 12:00:00 AM,2228
Armstrong,02/01/2021 12:00:00 AM,3268
Blair,10/01/2021 12:00:00 AM,11736
Wayne,10/01/2020 12:00:00 AM,372
Wayne,03/01/2021 12:00:00 AM,2161
Philadelphia,04/01/2020 12:00:00 AM,14017
Mifflin,11/01/2020 12:00:00 AM,746
Wyoming,09/01/2021 12:00:00 AM,1665
Bedford,12/01/2020 12:00:00 AM,2617
Montgomery,10/01/2021 12:00:00 AM,57022
Delaware,10/01/2020 12:00:00 AM,23875
Northumberland,05/01/2021 12:00:00 AM,11006
Forest,04/01/2020 12:00:00 AM,0
Columbia,05/01/2020 12:00:00 AM,899
Clarion,05/01/2021 12:00:00 AM,2907
Venango,03/01/2021 12:00:00 AM,2748
Warren,05/01/2020 12:00:00 AM,0
Clinton,09/01/2020 12:00:00 AM,180
Armstrong,03/01/2020 12:00:00 AM,0
Delaware,06/01/2020 12:00:00 AM,19901
Mercer,08/01/2020 12:00:00 AM,403
Forest,05/01/2021 12:00:00 AM,651
Wyoming,04/01/2021 12:00:00 AM,1360
Bedford,03/01/2020 12:00:00 AM,0
Clearfield,09/01/2020 12:00:00 AM,97
Huntingdon,07/01/2021 12:00:00 AM,4212
Bradford,04/01/2020 12:00:00 AM,16
Schuylkill,07/01/2021 12:00:00 AM,12892
Clarion,02/01/2021 12:00:00 AM,2306
Lancaster,09/01/2021 12:00:00 AM,36683
Washington,07/01/2021 12:00:00 AM,9785
York,11/01/2021 12:00:00 AM,16418
Pike,01/01/2021 12:00:00 AM,1251
Union,11/01/2020 12:00:00 AM,443
Chester,06/01/2020 12:00:00 AM,9588
Bucks,03/01/2020 12:00:00 AM,21
Chester,12/01/2020 12:00:00 AM,15251
Blair,03/01/2020 12:00:00 AM,0
Washington,05/01/2020 12:00:00 AM,142
Pike,06/01/2020 12:00:00 AM,602
Indiana,02/01/2021 12:00:00 AM,4437
Dauphin,09/01/2020 12:00:00 AM,5338
Union,11/01/2021 12:00:00 AM,1697
Adams,04/01/2020 12:00:00 AM,54
York,10/01/2021 12:00:00 AM,29717
Armstrong,08/01/2020 12:00:00 AM,276
Northampton,11/01/2021 12:00:00 AM,12880
Venango,05/01/2021 12:00:00 AM,2932
Chester,07/01/2020 12:00:00 AM,10647
Northumberland,04/01/2021 12:00:00 AM,10351
Clinton,07/01/2020 12:00:00 AM,161
Pike,11/01/2021 12:00:00 AM,1047
Fayette,02/01/2021 12:00:00 AM,7431
York,05/01/2020 12:00:00 AM,660
Franklin,05/01/2020 12:00:00 AM,857
Beaver,04/01/2020 12:00:00 AM,878
Berks,04/01/2021 12:00:00 AM,29221
Lycoming,08/01/2020 12:00:00 AM,712
Beaver,03/01/2020 12:00:00 AM,4
Bucks,10/01/2020 12:00:00 AM,19367
Fulton,07/01/2020 12:00:00 AM,44
Berks,12/01/2020 12:00:00 AM,16609
Forest,09/01/2020 12:00:00 AM,0
Clinton,06/01/2020 12:00:00 AM,137
Potter,10/01/2021 12:00:00 AM,1285
Lawrence,05/01/2020 12:00:00 AM,251
Butler,07/01/2021 12:00:00 AM,13214
Forest,11/01/2021 12:00:00 AM,410
Montgomery,06/01/2020 12:00:00 AM,24011
Allegheny,01/01/2021 12:00:00 AM,45032
Westmoreland,02/01/2021 12:00:00 AM,18783
Elk,11/01/2020 12:00:00 AM,133
Schuylkill,02/01/2021 12:00:00 AM,10206
Fayette,03/01/2020 12:00:00 AM,2
Lackawanna,05/01/2021 12:00:00 AM,14690
Indiana,11/01/2020 12:00:00 AM,967
Pike,10/01/2021 12:00:00 AM,1893
Dauphin,06/01/2020 12:00:00 AM,3747
Potter,11/01/2021 12:00:00 AM,812
Westmoreland,03/01/2020 12:00:00 AM,0
Schuylkill,09/01/2021 12:00:00 AM,12982
Clinton,04/01/2020 12:00:00 AM,0
Allegheny,10/01/2021 12:00:00 AM,71586
Montour,06/01/2020 12:00:00 AM,10
Westmoreland,10/01/2021 12:00:00 AM,27504
Centre,09/01/2020 12:00:00 AM,333
Indiana,06/01/2020 12:00:00 AM,180
Washington,12/01/2020 12:00:00 AM,3451
Susquehanna,08/01/2021 12:00:00 AM,1922
McKean,10/01/2020 12:00:00 AM,62
Forest,03/01/2021 12:00:00 AM,651
Montgomery,05/01/2021 12:00:00 AM,53310
Butler,11/01/2020 12:00:00 AM,1902
Bucks,07/01/2020 12:00:00 AM,18122
Huntingdon,04/01/2021 12:00:00 AM,3831
Clarion,08/01/2020 12:00:00 AM,89
Allegheny,12/01/2020 12:00:00 AM,28314
Bucks,03/01/2021 12:00:00 AM,36427
Westmoreland,08/01/2020 12:00:00 AM,1566
Clearfield,02/01/2021 12:00:00 AM,3234
Washington,01/01/2021 12:00:00 AM,5895
Lackawanna,04/01/2021 12:00:00 AM,13695
Venango,11/01/2020 12:00:00 AM,177
Elk,08/01/2020 12:00:00 AM,62
